CRITICAL:root:layer:Cropping2D does not have params={'cropping': ((1, 4), (4, 4)), 'data_format': 'channels_first', 'input_shape': (7, 27, 7), 'batch_size': 3}
CRITICAL:root:layer:Cropping2D does not have params={'cropping': ((1, 4), (4, 4)), 'data_format': 'channels_first', 'input_shape': (17, 7, 27), 'batch_size': 3}
CRITICAL:root:layer:Cropping2D does not have params={'cropping': ((1, 4), (4, 4)), 'data_format': 'channels_first', 'input_shape': (27, 2, 22), 'batch_size': 3}
CRITICAL:root:layer:Cropping2D does not have params={'cropping': ((1, 4), (4, 4)), 'data_format': 'channels_first', 'input_shape': (27, 27, 12), 'batch_size': 3}
CRITICAL:root:layer:Cropping2D does not have params={'cropping': ((1, 4), (4, 4)), 'data_format': 'channels_last', 'input_shape': (2, 12, 22), 'batch_size': 2}
CRITICAL:root:layer:Cropping2D does not have params={'cropping': ((1, 4), (4, 4)), 'data_format': 'channels_last', 'input_shape': (7, 2, 2), 'batch_size': 3}
CRITICAL:root:layer:Cropping2D does not have params={'cropping': ((1, 4), (4, 4)), 'data_format': 'channels_last', 'input_shape': (7, 17, 27), 'batch_size': 3}
CRITICAL:root:layer:Cropping2D does not have params={'cropping': ((1, 4), (4, 4)), 'data_format': 'channels_last', 'input_shape': (12, 22, 27), 'batch_size': 2}
CRITICAL:root:layer:Cropping2D does not have params={'cropping': ((1, 4), (4, 4)), 'data_format': 'channels_last', 'input_shape': (17, 12, 2), 'batch_size': 3}
CRITICAL:root:layer:Cropping2D does not have params={'cropping': ((1, 4), (4, 4)), 'data_format': 'channels_last', 'input_shape': (17, 27, 12), 'batch_size': 3}
CRITICAL:root:layer:Cropping2D does not have params={'cropping': ((1, 4), (4, 4)), 'data_format': 'channels_last', 'input_shape': (22, 12, 22), 'batch_size': 3}
CRITICAL:root:layer:Cropping2D does not have params={'cropping': ((1, 4), (4, 4)), 'data_format': 'channels_last', 'input_shape': (22, 27, 27), 'batch_size': 2}
CRITICAL:root:layer:Cropping2D does not have params={'cropping': ((1, 4), (4, 4)), 'data_format': 'channels_last', 'input_shape': (27, 17, 7), 'batch_size': 2}
CRITICAL:root:layer:Cropping2D does not have params={'cropping': ((4, 1), (1, 1)), 'data_format': 'channels_first', 'input_shape': (2, 2, 7), 'batch_size': 2}
CRITICAL:root:layer:Cropping2D does not have params={'cropping': ((4, 1), (1, 1)), 'data_format': 'channels_first', 'input_shape': (2, 17, 7), 'batch_size': 2}
CRITICAL:root:layer:Cropping2D does not have params={'cropping': ((4, 1), (1, 1)), 'data_format': 'channels_first', 'input_shape': (2, 27, 17), 'batch_size': 2}
CRITICAL:root:layer:Cropping2D does not have params={'cropping': ((4, 1), (1, 1)), 'data_format': 'channels_first', 'input_shape': (17, 22, 12), 'batch_size': 3}
